        P         F1         F2         S1         S2          d
    0.000      0.000      0.000      0.000      0.000      0.000
   20.000      7.024     33.190      0.358      1.174      0.012
   40.000     14.049     66.380      0.716      2.348      0.024
   60.000     21.073     99.571      1.073      3.522      0.036
   80.000     28.098    132.761      1.431      4.696      0.048
  100.000     35.122    165.951      1.789      5.869      0.060
  120.000     42.147    199.141      2.147      7.043      0.072
  140.000     49.171    232.331      2.504      8.217      0.085
  160.000     56.196    265.522      2.862      9.391      0.097
  180.000     63.220    298.712      3.220     10.565      0.109
  200.000     70.245    331.902      3.578     11.739      0.121
  220.000     77.269    365.092      3.935     12.913      0.133
  240.000     84.294    398.282      4.293     14.087      0.145
  260.000     91.318    431.473      4.651     15.260      0.157
  280.000     98.343    464.663      5.009     16.434      0.169
  300.000    105.367    497.853      5.366     17.608      0.181
  320.000    112.392    531.043      5.724     18.782      0.193
  340.000    119.416    564.234      6.082     19.956      0.205
  360.000    126.441    597.424      6.440     21.130      0.217
  380.000    133.465    630.614      6.797     22.304      0.229
  400.000    140.490    663.804      7.155     23.478      0.241
  420.000    147.514    696.994      7.513     24.651      0.254
  440.000    154.539    730.185      7.871     25.825      0.266
  460.000    161.563    763.375      8.228     26.999      0.278
  480.000    168.588    796.565      8.586     28.173      0.290
  500.000    175.612    829.755      8.944     29.347      0.302
  520.000    182.637    862.945      9.302     30.521      0.314
  540.000    189.661    896.136      9.659     31.695      0.326
  560.000    196.685    929.326     10.017     32.869      0.338
  580.000    203.710    962.516     10.375     34.042      0.350
  600.000    210.734    995.706     10.733     35.216      0.362
  620.000    217.759   1028.896     11.090     36.390      0.374
  640.000    224.783   1062.087     11.448     37.564      0.386
  660.000    231.808   1095.277     11.806     38.738      0.398
  680.000    238.832   1128.467     12.164     39.912      0.411
  700.000    245.857   1161.657     12.521     41.086      0.423
  720.000    252.881   1194.847     12.879     42.260      0.435
  740.000    259.906   1228.038     13.237     43.433      0.447
  760.000    266.930   1261.228     13.595     44.607      0.459
  780.000    273.955   1294.418     13.952     45.781      0.471
  800.000    280.979   1327.608     14.310     46.955      0.483
  820.000    288.004   1360.798     14.668     48.129      0.495
  840.000    295.028   1393.989     15.026     49.303      0.507
  860.000    302.053   1427.179     15.383     50.477      0.519
  880.000    309.077   1460.369     15.741     51.651      0.531
  900.000    316.102   1493.559     16.099     52.824      0.543
  920.000    323.126   1526.750     16.457     53.998      0.555
  940.000    330.151   1559.940     16.814     55.172      0.567
  960.000    337.175   1593.130     17.172     56.346      0.580
  980.000    344.200   1626.320     17.530     57.520      0.592
 1000.000    351.224   1659.510     17.888     58.694      0.604
 1020.000    358.249   1692.701     18.245     59.868      0.616
 1040.000    365.273   1725.891     18.603     61.042      0.628
 1060.000    372.298   1759.081     18.961     62.215      0.640
 1080.000    379.322   1792.271     19.319     63.389      0.652
 1100.000    386.347   1825.461     19.676     64.563      0.664
 1120.000    393.371   1858.652     20.034     65.737      0.676
 1140.000    400.395   1891.842     20.392     66.911      0.688
 1160.000    407.420   1925.032     20.750     68.085      0.700
 1180.000    414.444   1958.222     21.107     69.259      0.712
 1200.000    421.469   1991.412     21.465     70.433      0.724
 1220.000    428.493   2024.603     21.823     71.607      0.737
 1240.000    435.518   2057.793     22.181     72.780      0.749
 1260.000    442.542   2090.983     22.538     73.954      0.761
 1280.000    449.567   2124.173     22.896     75.128      0.773
 1300.000    456.591   2157.363     23.254     76.302      0.785
 1320.000    463.616   2190.554     23.612     77.476      0.797
 1340.000    470.640   2223.744     23.969     78.650      0.809
 1360.000    477.665   2256.934     24.327     79.824      0.821
 1380.000    484.689   2290.124     24.685     80.998      0.833
 1400.000    491.714   2323.315     25.043     82.171      0.845
 1420.000    498.738   2356.505     25.400     83.345      0.857
 1440.000    505.763   2389.695     25.758     84.519      0.869
 1460.000    512.787   2422.885     26.116     85.693      0.881
 1480.000    519.812   2456.075     26.474     86.867      0.893
 1500.000    526.836   2489.266     26.831     88.041      0.906
 1520.000    533.861   2522.456     27.189     89.215      0.918
 1540.000    540.885   2555.646     27.547     90.389      0.930
 1560.000    547.910   2588.836     27.905     91.562      0.942
 1580.000    554.934   2622.026     28.262     92.736      0.954
 1600.000    561.959   2655.217     28.620     93.910      0.966
 1620.000    568.983   2688.407     28.978     95.084      0.978
 1640.000    576.008   2721.597     29.336     96.258      0.990
 1660.000    583.032   2754.787     29.694     97.432      1.002
 1680.000    590.056   2787.977     30.051     98.606      1.014
 1700.000    597.081   2821.168     30.409     99.780      1.026
 1720.000    604.105   2854.358     30.767    100.953      1.038
 1740.000    611.130   2887.548     31.125    102.127      1.050
 1760.000    618.154   2920.738     31.482    103.301      1.063
 1780.000    625.179   2953.928     31.840    104.475      1.075
 1800.000    632.203   2987.119     32.198    105.649      1.087
 1820.000    639.228   3020.309     32.556    106.823      1.099
 1840.000    646.252   3053.499     32.913    107.997      1.111
 1860.000    653.277   3086.689     33.271    109.171      1.123
 1880.000    660.301   3119.879     33.629    110.344      1.135
 1900.000    667.326   3153.070     33.987    111.518      1.147
 1920.000    674.350   3186.260     34.344    112.692      1.159
 1940.000    681.375   3219.450     34.702    113.866      1.171
 1960.000    688.399   3252.640     35.060    115.040      1.183
 1980.000    695.424   3285.831     35.418    116.214      1.195
 2000.000    702.448   3319.021     35.775    117.388      1.207
 2020.000    709.473   3352.211     36.133    118.562      1.219
 2040.000    716.497   3385.401     36.491    119.735      1.232
 2060.000    723.522   3418.591     36.849    120.909      1.244
 2080.000    730.546   3451.782     37.206    122.083      1.256
 2100.000    737.571   3484.972     37.564    123.257      1.268
 2120.000    744.595   3518.162     37.922    124.431      1.280
 2140.000    751.620   3551.352     38.280    125.605      1.292
 2160.000    758.644   3584.542     38.637    126.779      1.304
 2180.000    765.669   3617.733     38.995    127.953      1.316
 2200.000    772.693   3650.923     39.353    129.127      1.328
 2220.000    779.717   3684.113     39.711    130.300      1.340
 2240.000    786.742   3717.303     40.068    131.474      1.352
 2260.000    793.766   3750.493     40.426    132.648      1.364
 2280.000    800.791   3783.684     40.784    133.822      1.376
 2300.000    807.815   3816.874     41.142    134.996      1.389
 2320.000    814.840   3850.064     41.499    136.170      1.401
 2340.000    821.864   3883.254     41.857    137.344      1.413
 2360.000    828.889   3916.444     42.215    138.518      1.425
 2380.000    835.913   3949.635     42.573    139.691      1.437
 2400.000    842.938   3982.825     42.930    140.865      1.449
 2420.000    849.962   4016.015     43.288    142.039      1.461
 2440.000    856.987   4049.205     43.646    143.213      1.473
 2460.000    864.011   4082.395     44.004    144.387      1.485
 2480.000    871.036   4115.586     44.361    145.561      1.497
 2500.000    878.060   4148.776     44.719    146.735      1.509
 2520.000    885.085   4181.966     45.077    147.909      1.521
 2540.000    892.109   4215.156     45.435    149.082      1.533
 2560.000    899.134   4248.347     45.792    150.256      1.545
 2580.000    906.158   4281.537     46.150    151.430      1.558
 2600.000    913.183   4314.727     46.508    152.604      1.570
 2620.000    920.207   4347.917     46.866    153.778      1.582
 2640.000    927.232   4381.107     47.223    154.952      1.594
 2660.000    934.256   4414.298     47.581    156.126      1.606
 2680.000    941.281   4447.488     47.939    157.300      1.618
 2700.000    948.305   4480.678     48.297    158.473      1.630
 2720.000    955.330   4513.868     48.654    159.647      1.642
 2740.000    962.354   4547.058     49.012    160.821      1.654
 2760.000    969.378   4580.249     49.370    161.995      1.666
 2780.000    976.403   4613.439     49.728    163.169      1.678
 2800.000    983.427   4646.629     50.085    164.343      1.690
 2820.000    990.452   4679.819     50.443    165.517      1.702
 2840.000    997.476   4713.009     50.801    166.691      1.715
 2860.000   1004.501   4746.200     51.159    167.864      1.727
 2880.000   1011.525   4779.390     51.516    169.038      1.739
 2900.000   1018.550   4812.580     51.874    170.212      1.751
 2920.000   1025.574   4845.770     52.232    171.386      1.763
 2940.000   1032.599   4878.960     52.590    172.560      1.775
 2960.000   1039.623   4912.151     52.947    173.734      1.787
 2980.000   1046.648   4945.341     53.305    174.908      1.799
 3000.000   1053.672   4978.531     53.663    176.082      1.811
 3020.000   1060.697   5011.721     54.021    177.255      1.823
 3040.000   1067.721   5044.912     54.378    178.429      1.835
 3060.000   1074.746   5078.102     54.736    179.603      1.847
 3080.000   1081.770   5111.292     55.094    180.777      1.859
 3100.000   1088.795   5144.482     55.452    181.951      1.871
 3120.000   1095.819   5177.672     55.809    183.125      1.884
 3140.000   1102.844   5210.863     56.167    184.299      1.896
 3160.000   1109.868   5244.053     56.525    185.473      1.908
 3180.000   1116.893   5277.243     56.883    186.646      1.920
 3200.000   1123.917   5310.433     57.240    187.820      1.932
 3220.000   1130.942   5343.623     57.598    188.994      1.944
 3240.000   1137.966   5376.814     57.956    190.168      1.956
 3260.000   1144.991   5410.004     58.314    191.342      1.968
 3280.000   1152.015   5443.194     58.672    192.516      1.980
 3300.000   1159.040   5476.384     59.029    193.690      1.992
 3320.000   1166.064   5509.574     59.387    194.864      2.004
 3340.000   1173.088   5542.765     59.745    196.038      2.016
 3360.000   1180.113   5575.955     60.103    197.211      2.028
 3380.000   1187.137   5609.145     60.460    198.385      2.041
 3400.000   1194.162   5642.335     60.818    199.559      2.053
 3420.000   1253.000   5654.800     63.815    200.000      2.154
 3440.000   1343.000   5654.800     68.398    200.000      2.308
 3460.000   1433.000   5654.800     72.982    200.000      2.463
 3480.000   1523.000   5654.800     77.566    200.000      2.618
 3500.000   1613.000   5654.800     82.149    200.000      2.773
 3520.000   1703.000   5654.800     86.733    200.000      2.927
 3540.000   1793.000   5654.800     91.317    200.000      3.082
 3560.000   1883.000   5654.800     95.900    200.000      3.237
 3580.000   1973.000   5654.800    100.484    200.000      3.391
 3600.000   2063.000   5654.800    105.067    200.000      3.546
 3620.000   2153.000   5654.800    109.651    200.000      3.701
 3640.000   2243.000   5654.800    114.235    200.000      3.855
 3660.000   2333.000   5654.800    118.818    200.000      4.010
 3680.000   2423.000   5654.800    123.402    200.000      4.165
 3700.000   2513.000   5654.800    127.986    200.000      4.320
 3720.000   2603.000   5654.800    132.569    200.000      4.474
 3740.000   2693.000   5654.800    137.153    200.000      4.629
 3760.000   2783.000   5654.800    141.737    200.000      4.784
 3780.000   2873.000   5654.800    146.320    200.000      4.938
 3800.000   2963.000   5654.800    150.904    200.000      5.093
 3820.000   3053.000   5654.800    155.488    200.000      5.248
 3840.000   3143.000   5654.800    160.071    200.000      5.402
 3860.000   3233.000   5654.800    164.655    200.000      5.557
 3880.000   3323.000   5654.800    169.239    200.000      5.712
 3900.000   3413.000   5654.800    173.822    200.000      5.867
 3920.000   3503.000   5654.800    178.406    200.000      6.021
 3940.000   3593.000   5654.800    182.990    200.000      6.176
 3960.000   3683.000   5654.800    187.573    200.000      6.331
 3980.000   3773.000   5654.800    192.157    200.000      6.485
 4000.000   3863.000   5654.800    196.741    200.000      6.640
 4020.000   3953.000   5654.800    201.324    200.000      6.795
 4040.000   4043.000   5654.800    205.908    200.000      6.949
 4060.000   4133.000   5654.800    210.491    200.000      7.104
 4080.000   4223.000   5654.800    215.075    200.000      7.259
 4100.000   4313.000   5654.800    219.659    200.000      7.413
 4120.000   4403.000   5654.800    224.242    200.000      7.568
 4140.000   4493.000   5654.800    228.826    200.000      7.723
 4160.000   4583.000   5654.800    233.410    200.000      7.878
 4180.000   4673.000   5654.800    237.993    200.000      8.032
 4200.000   4763.000   5654.800    242.577    200.000      8.187
 4220.000   4853.000   5654.800    247.161    200.000      8.342
 4240.000   4943.000   5654.800    251.744    200.000      8.496
 4260.000   5033.000   5654.800    256.328    200.000      8.651
 4280.000   5123.000   5654.800    260.912    200.000      8.806
 4300.000   5213.000   5654.800    265.495    200.000      8.960
 4320.000   5303.000   5654.800    270.079    200.000      9.115
 4340.000   5393.000   5654.800    274.663    200.000      9.270
 4360.000   5483.000   5654.800    279.246    200.000      9.425
 4380.000   5573.000   5654.800    283.830    200.000      9.579
 4400.000   5663.000   5654.800    288.414    200.000      9.734
 4420.000   5753.000   5654.800    292.997    200.000      9.889
 4440.000   5843.000   5654.800    297.581    200.000     10.043
 4460.000   5933.000   5654.800    302.165    200.000     10.198
 4480.000   6023.000   5654.800    306.748    200.000     10.353
 4500.000   6113.000   5654.800    311.332    200.000     10.507
 4520.000   6203.000   5654.800    315.915    200.000     10.662
 4540.000   6293.000   5654.800    320.499    200.000     10.817
 4560.000   6383.000   5654.800    325.083    200.000     10.972
 4580.000   6473.000   5654.800    329.666    200.000     11.126
 4600.000   6563.000   5654.800    334.250    200.000     11.281
 4620.000   6653.000   5654.800    338.834    200.000     11.436
 4640.000   6743.000   5654.800    343.417    200.000     11.590
 4660.000   6833.000   5654.800    348.001    200.000     11.745
A viga n�o � capaz de suportar p = 4680
